"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,해역배출,기타
"2006","합계",성동구,16.85,340895,16.85,340895,100.0,2008.0,2008.0,100.0,2008.0,281.9,5.6,1276.0,307.4,136.3
"2006","합계",광진구,17.06,381540,17.06,381540,100.0,1332.0,1332.0,100.0,1332.0,156.0,18.8,1153.7,-,3.5
"2006","합계",동대문구,14.22,385712,14.22,385712,100.0,1741.0,1741.0,100.0,1741.0,615.3,10.9,1115.0,-,-
"2006","합계",중랑구,18.50,429404,18.50,429404,100.0,2215.7,2215.7,100.0,2215.7,217.1,12.3,1986.3,-,-
"2006","합계",성북구,24.56,478511,24.56,478511,100.0,1562.0,1562.0,100.0,1562.0,200.6,9.8,1351.5,-,0.3
"2006","합계",강북구,23.60,351624,23.60,351624,100.0,791.3,791.3,100.0,791.3,116.2,6.6,668.0,-,0.5
"2006","합계",도봉구,20.80,379755,20.80,379755,100.0,655.3,655.3,100.0,655.3,89.2,5.3,560.8,-,-
"2006","합계",노원구,35.42,621676,35.42,621676,100.0,1725.2,1725.2,100.0,1725.2,43.5,159.9,1521.8,-,-
"2006","합계",은평구,29.71,467940,29.71,467940,100.0,2369.0,2369.0,100.0,2369.0,153.6,45.3,2170.0,-,-
"2006","합계",서대문구,17.61,356652,17.61,356652,100.0,1192.7,1192.7,100.0,1192.7,161.5,10.0,1021.2,-,-
"2006","합계",마포구,23.88,397049,23.88,397049,100.0,2123.0,2123.0,100.0,2123.0,88.5,123.3,1911.0,-,-
"2006","합계",양천구,17.40,505606,17.40,505606,100.0,785.8,785.8,100.0,785.8,48.5,133.1,604.2,-,-
"2006","합계",강서구,41.40,559845,41.40,559845,100.0,3997.0,3997.0,100.0,3997.0,468.3,119.8,3400.0,-,8.5
"2006","합계",구로구,20.11,436786,20.11,436786,100.0,1581.0,1581.0,100.0,1581.0,93.3,136.2,1350.0,-,2.1
"2006","합계",금천구,13.02,263989,13.02,263989,100.0,642.0,642.0,100.0,642.0,121.7,11.8,507.0,-,1.3
"2006","합계",영등포구,24.57,429816,24.57,429816,100.0,1616.0,1616.0,100.0,1616.0,286.5,7.8,1321.0,-,0.2
"2006","합계",동작구,16.35,414978,16.35,414978,100.0,942.3,942.3,100.0,942.3,152.4,7.3,780.8,1.8,-
"2006","합계",관악구,29.57,545995,29.57,545995,100.0,1231.6,1231.6,100.0,1231.6,216.3,5.8,1009.5,-,-
"2006","합계",서초구,47.03,413970,47.03,413970,100.0,3240.0,3240.0,100.0,3240.0,263.9,11.8,2960.0,-,4.6
"2006","합계",강남구,39.54,564658,39.54,564658,100.0,3494.0,3494.0,100.0,3494.0,218.9,238.9,3036.0,-,0.3
"2006","합계",송파구,33.88,612527,33.88,612527,100.0,4015.0,4015.0,100.0,4015.0,317.5,38.3,3649.0,-,9.6
"2006","합계",강동구,24.58,465203,24.58,465203,100.0,1619.8,1619.8,100.0,1619.8,175.6,14.3,1429.9,-,-
"2007","합계",소계,605.25,10421782,605.25,10421782,100.0,44203.6,44203.6,100.0,44203.6,4683.5,2031.0,37478.6,10.5,-
"2007","합계",종로구,23.91,173843,23.91,173843,100.0,1057.0,1057.0,100.0,1057.0,238.6,8.0,810.4,-,-
"2007","합계",중구,9.96,137435,9.96,137435,100.0,2153.8,2153.8,100.0,2153.8,128.5,198.6,1826.7,-,-
"2007","합계",용산구,21.87,248362,21.87,248362,100.0,1009.1,1009.1,100.0,1009.1,62.4,112.7,834.0,-,-
"2007","합계",성동구,16.85,341620,16.85,341620,100.0,1882.9,1882.9,100.0,1882.9,409.9,21.0,1452.0,-,-
"2007","합계",광진구,17.05,386367,17.05,386367,100.0,888.8,888.8,100.0,888.8,109.2,43.6,736.0,-,-
"2007","합계",동대문구,14.20,385825,14.20,385825,100.0,1850.3,1850.3,100.0,1850.3,195.6,1.8,1652.9,-,-
"2007","합계",중랑구,18.50,431406,18.50,431406,100.0,1277.3,1277.3,100.0,1277.3,140.4,73.2,1063.7,-,-
"2007","합계",성북구,24.57,477358,24.57,477358,100.0,1803.9,1803.9,100.0,1803.9,119.1,43.8,1641.0,-,-
"2007","합계",강북구,23.61,348702,23.61,348702,100.0,990.0,990.0,100.0,990.0,77.6,40.9,871.5,-,-
