"자치구별(1)","자치구별(2)",시점,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)","자치구별(2)",시점,소계,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,매립,소각,재활용,재활용,재활용,재활용,재활용
"자치구별(1)","자치구별(2)",시점,소계,소계,소계,소계,사료화,퇴비화,하수병합,기타
"서울시","서대문구",2006,91.6,-,-,91.6,6.8,84.5,-,0.3
"서울시","서대문구",2007,91.3,-,-,91.3,2.5,88.4,-,0.4
"서울시","서대문구",2008,89.6,-,-,89.6,16.0,73.0,-,0.6
"서울시","서대문구",2009,90.6,-,-,90.6,5.1,85.4,-,0.1
"서울시","서대문구",2010,91.2,-,-,91.2,2.4,86.0,-,2.8
"서울시","서대문구",2011,84.6,-,-,84.6,3.0,78.4,-,3.3
"서울시","서대문구",2012,88.5,-,-,88.5,7.4,59.7,12.5,8.9
"서울시","서대문구",2013,88.7,-,-,88.7,9.3,75.9,-,3.5
"서울시","서대문구",2014,91.0,-,-,91.0,15.1,75.9,-,-
"서울시","서대문구",2015,82.7,-,-,82.7,-,82.7,-,-
"서울시","서대문구",2016,79.8,-,-,79.8,7.7,72.1,-,-
"서울시","서대문구",2017,76.9,-,-,76.9,8.2,68.7,-,-
"서울시","서대문구",2018,73.1,-,-,73.1,62.0,10.6,-,0.5
"서울시","서대문구",2019,71.1,-,-,71.1,65.9,5.0,-,0.2
"서울시","서대문구",2020,63.5,-,-,63.5,28.2,33.4,-,1.8
"서울시","서대문구",2021,61.1,-,-,61.1,26.0,33.5,-,1.6
"서울시","서대문구",2022,63.1,-,-,63.1,27.5,33.7,-,1.9
"서울시","서대문구",2023,61.0,-,-,61.0,4.3,55.2,-,1.4
"서울시","마포구",2004,97.2,16.5,-,80.7,-,-,-,-
"서울시","마포구",2005,97.0,-,-,97.0,54.0,43.0,-,-
"서울시","마포구",2006,102.7,-,-,102.7,47.1,55.7,-,-
"서울시","마포구",2007,116.0,-,-,116.0,17.5,98.5,-,-
"서울시","마포구",2008,123.5,-,-,123.5,37.2,86.3,-,-
"서울시","마포구",2009,120.0,-,-,120.0,34.8,85.2,-,-
"서울시","마포구",2010,122.3,-,-,122.3,11.8,110.5,-,-
"서울시","마포구",2011,124.3,-,-,124.3,7.4,116.9,-,-
"서울시","마포구",2012,122.4,-,-,122.4,12.0,110.4,-,-
"서울시","마포구",2013,123.0,-,-,123.0,12.0,111.0,-,-
"서울시","마포구",2014,131.8,-,-,131.8,13.2,118.6,-,-
"서울시","마포구",2015,142.5,-,-,142.5,22.2,120.3,-,-
"서울시","마포구",2016,131.2,-,-,131.2,18.7,112.5,-,-
"서울시","마포구",2017,108.9,-,-,108.9,21.8,87.1,-,-
"서울시","마포구",2018,91.1,-,-,91.1,11.3,75.3,-,4.5
"서울시","마포구",2019,96.4,-,-,96.4,15.1,80.5,-,0.8
"서울시","마포구",2020,84.6,-,-,84.6,9.7,74.4,-,0.5
"서울시","마포구",2021,77.9,-,-,77.9,7.7,69.9,-,0.3
"서울시","마포구",2022,81.0,-,-,81.0,3.0,75.5,-,2.5
"서울시","마포구",2023,78.8,-,-,78.8,3.1,73.7,-,2.0
"서울시","양천구",2004,123.2,0.7,-,122.5,-,-,-,-
"서울시","양천구",2005,126.0,-,-,126.0,67.0,54.0,-,5.0
"서울시","양천구",2006,132.0,-,-,132.0,56.5,75.2,-,0.3
"서울시","양천구",2007,141.3,-,-,141.3,55.3,86.0,-,-
"서울시","양천구",2008,164.4,-,-,164.4,95.8,68.6,-,-
"서울시","양천구",2009,158.8,-,-,158.8,95.6,63.2,-,-
"서울시","양천구",2010,154.1,-,-,154.1,56.5,97.5,-,-
"서울시","양천구",2011,133.2,-,-,133.2,45.7,86.7,-,0.8
"서울시","양천구",2012,135.1,-,-,135.1,50.3,84.8,-,-
"서울시","양천구",2013,138.1,-,-,138.1,28.8,25.3,-,84.0
"서울시","양천구",2014,119.4,-,-,119.4,41.9,77.5,-,-
"서울시","양천구",2015,117.2,-,-,117.2,89.8,27.4,-,-
"서울시","양천구",2016,111.8,-,-,111.8,85.5,26.3,-,-
"서울시","양천구",2017,108.4,-,-,108.4,12.7,95.7,-,-
"서울시","양천구",2018,104.9,-,-,104.9,16.1,38.6,-,50.2
"서울시","양천구",2019,97.6,-,-,97.6,6.6,90.9,-,0.1
"서울시","양천구",2020,89.0,-,-,89.0,2.3,86.2,-,0.5
"서울시","양천구",2021,88.7,-,-,88.7,6.8,81.2,-,0.7
"서울시","양천구",2022,90.0,-,-,90.0,4.4,85.3,-,0.4
"서울시","양천구",2023,82.1,-,-,82.1,62.2,19.4,-,0.5
"서울시","강서구",2004,113.0,1.4,-,111.6,-,-,-,-
"서울시","강서구",2005,174.0,-,-,174.0,95.0,60.0,14.0,5.0
"서울시","강서구",2006,188.7,-,-,188.7,130.8,44.4,13.2,0.3
